provider,bench_name,extracted_name,unit,bench_key,instance,avg,std,min,max
azure,sys-benchmark,memory: totalops per second,ops/s,153690199563645472,A2-1 - eu,10536.865947855757,751.3720033415796,8393.11,12764.663333333336
azure,sys-benchmark,memory: totalops per second,ops/s,153690199563645472,A2-2 - eu,19829.72125607385,1796.96706109254,15003.003333333332,23358.063333333335
azure,sys-benchmark,memory: totalops per second,ops/s,153690199563645472,A4-1 - eu,19831.1891765286,1727.7107402031163,15125.793333333333,22372.429999999997
azure,sys-benchmark,memory: totalops per second,ops/s,153690199563645472,B2MS-1 - eu,23442.08370149252,2074.895091080709,18755.88333333333,31291.069999999996
azure,sys-benchmark,memory: totalops per second,ops/s,153690199563645472,B2MS-2 - eu,23610.35640727489,2148.5046766782375,19086.746666666662,33977.29666666667
azure,sys-benchmark,memory: totalops per second,ops/s,153690199563645472,B4MS-1 - eu,38250.499207708795,1811.9445886901624,33261.526666666665,47098.23333333334
azure,nench-benchmark,net speed - Leaseweb (NL),MiB/s,475873407177365117,A2-1 - eu,139.565712542704,43.11189760040982,13.923333333333332,256.09
azure,nench-benchmark,net speed - Leaseweb (NL),MiB/s,475873407177365117,A2-2 - eu,136.04598153547138,43.910371682622646,30.86666666666667,278.89
azure,nench-benchmark,net speed - Leaseweb (NL),MiB/s,475873407177365117,A4-1 - eu,138.31699950690333,44.3001886117565,4.706666666666667,275.20666666666665
azure,nench-benchmark,net speed - Leaseweb (NL),MiB/s,475873407177365117,B2MS-1 - eu,158.90411940298495,44.32880605861873,31.08666666666667,266.66333333333336
azure,nench-benchmark,net speed - Leaseweb (NL),MiB/s,475873407177365117,B2MS-2 - eu,156.01131186642814,45.235970265294746,32.92333333333333,278.99333333333334
azure,nench-benchmark,net speed - Leaseweb (NL),MiB/s,475873407177365117,B4MS-1 - eu,158.80852248394,45.95132403776528,44.556666666666665,272.09
azure,sys-benchmark,cpu: avg latency,ms,1491404484891978257,A2-1 - eu,0.3007407407407412,0.014913787397381001,0.25,0.34
azure,sys-benchmark,cpu: avg latency,ms,1491404484891978257,A2-2 - eu,0.29780855199222644,0.01318930548395925,0.25,0.3433333333333333
azure,sys-benchmark,cpu: avg latency,ms,1491404484891978257,A4-1 - eu,0.2991962524654842,0.012495725521375256,0.26,0.33
azure,sys-benchmark,cpu: avg latency,ms,1491404484891978257,B2MS-1 - eu,0.1274527363184081,0.006116757320784125,0.10000000000000002,0.17666666666666667
azure,sys-benchmark,cpu: avg latency,ms,1491404484891978257,B2MS-2 - eu,0.12719141323792504,0.006820429128361181,0.09000000000000001,0.14333333333333334
azure,sys-benchmark,cpu: avg latency,ms,1491404484891978257,B4MS-1 - eu,0.12827980014275564,0.005038311852341046,0.10000000000000002,0.14
azure,sys-benchmark,memory: avg latency,ms,2047814825220939480,A2-1 - eu,0.1880263157894748,0.014609051710251406,0.15666666666666665,0.25333333333333335
azure,sys-benchmark,memory: avg latency,ms,2047814825220939480,A2-2 - eu,0.19725947521865933,0.01867652815936473,0.16333333333333333,0.25
azure,sys-benchmark,memory: avg latency,ms,2047814825220939480,A4-1 - eu,0.1971104536489157,0.01819330033223995,0.17333333333333334,0.25333333333333335
azure,sys-benchmark,memory: avg latency,ms,2047814825220939480,B2MS-1 - eu,0.08433830845771129,0.008355077269804214,0.06,0.11
