provider,bench_name,extracted_name,unit,bench_key,instance,avg,std,min,max
aws,sys-benchmark,memory: totalops per second,ops/s,1051073229506515342,a1.xlarge - eu-central-1b,36603.57509247842,817.1480533727614,30684.440000000002,40986.98
aws,sys-benchmark,memory: totalops per second,ops/s,1051073229506515342,m5.large - eu-central-1a,15614.770887792853,129.6598078146442,14115.086666666668,17325.329999999998
aws,sys-benchmark,memory: totalops per second,ops/s,1051073229506515342,m5.large - eu-central-1b,15610.346300863115,136.71201942352823,13418.936666666666,16025.326666666668
aws,sys-benchmark,memory: totalops per second,ops/s,1051073229506515342,m5.xlarge - eu-central-1b,29470.99681052197,509.4608967633184,27792.319999999996,34078.526666666665
aws,nench-benchmark,net speed - Softlayer DAL (US),MiB/s,1529811936798020246,a1.large - eu-central-1a,8.844410193177149,2.193911413177992,0.4000000000000001,10.546666666666667
aws,nench-benchmark,net speed - Softlayer DAL (US),MiB/s,1529811936798020246,a1.large - eu-central-1b,9.108781893004114,1.8024701566071482,0.4000000000000001,10.37
aws,nench-benchmark,net speed - Softlayer DAL (US),MiB/s,1529811936798020246,a1.xlarge - eu-central-1b,8.912092067406494,2.1994013449770353,0.4033333333333333,10.326666666666668
aws,nench-benchmark,net speed - Softlayer DAL (US),MiB/s,1529811936798020246,m5.large - eu-central-1a,9.154056720098646,2.2199343710722665,0.4033333333333333,10.699999999999998
aws,nench-benchmark,net speed - Softlayer DAL (US),MiB/s,1529811936798020246,m5.large - eu-central-1b,9.126808466913266,2.38919365492749,0.4033333333333333,10.896666666666667
aws,nench-benchmark,net speed - Softlayer DAL (US),MiB/s,1529811936798020246,m5.xlarge - eu-central-1b,9.151703658035338,2.4348876353917963,0.39999999999999997,10.780000000000001
aws,nench-benchmark,cpu - AES,seconds,1839942089017159112,a1.large - eu-central-1a,1.3060113029182068,0.041997962452224306,1.1243333333333332,1.563
aws,nench-benchmark,cpu - AES,seconds,1839942089017159112,a1.large - eu-central-1b,1.302240740740741,0.036705804672967135,1.2506666666666666,1.4479999999999997
aws,nench-benchmark,cpu - AES,seconds,1839942089017159112,a1.xlarge - eu-central-1b,1.329164817098235,0.11877061309797769,1.1306666666666667,1.9463333333333332
aws,nench-benchmark,cpu - AES,seconds,1839942089017159112,m5.large - eu-central-1a,1.0336177558569664,0.02854381162848975,0.936,1.4536666666666667
aws,nench-benchmark,cpu - AES,seconds,1839942089017159112,m5.large - eu-central-1b,1.0323131935881629,0.027089568549635738,0.9876666666666667,1.4716666666666667
aws,nench-benchmark,cpu - AES,seconds,1839942089017159112,m5.xlarge - eu-central-1b,0.9766543362104408,0.03587464245437065,0.8736666666666667,1.4613333333333334
aws,nench-benchmark,dd: avg sequential write speed,MiB/s,2872004234021923180,a1.large - eu-central-1a,132.62519934237562,0.4769194392888372,125.24666666666667,133.62
aws,nench-benchmark,dd: avg sequential write speed,MiB/s,2872004234021923180,a1.large - eu-central-1b,132.65232098765406,0.25258583822290875,130.86666666666667,133.51666666666665
aws,nench-benchmark,dd: avg sequential write speed,MiB/s,2872004234021923180,a1.xlarge - eu-central-1b,123.53258939580823,1.4421187288295814,114.75999999999999,125.67333333333333
aws,nench-benchmark,dd: avg sequential write speed,MiB/s,2872004234021923180,m5.large - eu-central-1a,129.05658240854777,0.26594962062528826,125.67,132.02666666666667
aws,nench-benchmark,dd: avg sequential write speed,MiB/s,2872004234021923180,m5.large - eu-central-1b,129.0614180024648,0.20948255005047067,127.68333333333334,132.24
aws,nench-benchmark,dd: avg sequential write speed,MiB/s,2872004234021923180,m5.xlarge - eu-central-1b,129.0709987669531,0.19826899014696012,125.99000000000001,131.1833333333333
aws,nench-benchmark,ioping: avg seek rate,us,2973960550148341404,m5.large - eu-central-1a,277.05045323444625,3.0134869075838138,274.1666666666667,360.8
aws,nench-benchmark,ioping: avg seek rate,us,2973960550148341404,m5.large - eu-central-1b,277.1559950556242,3.0901553691839068,274.46666666666664,358.6333333333334
aws,nench-benchmark,ioping: avg seek rate,us,2973960550148341404,m5.xlarge - eu-central-1b,277.1770910589205,3.5350352163499594,274.4666666666667,373.8
aws,nench-benchmark,cpu - SHA256,seconds,3031481408092616407,a1.large - eu-central-1a,3.2012215371968766,0.06082112428851637,3.1306666666666665,3.473333333333333
aws,nench-benchmark,cpu - SHA256,seconds,3031481408092616407,a1.large - eu-central-1b,3.1963296296296284,0.05654742890197316,3.1333333333333333,3.44
aws,nench-benchmark,cpu - SHA256,seconds,3031481408092616407,a1.xlarge - eu-central-1b,3.169270859021786,0.031898904762760104,3.1293333333333333,3.358
aws,nench-benchmark,cpu - SHA256,seconds,3031481408092616407,m5.large - eu-central-1a,2.9391533086724166,0.05858430133731935,2.626,3.566333333333334
aws,nench-benchmark,cpu - SHA256,seconds,3031481408092616407,m5.large - eu-central-1b,2.9421483764899294,0.08079956259326032,2.830666666666667,4.476333333333334
aws,nench-benchmark,cpu - SHA256,seconds,3031481408092616407,m5.xlarge - eu-central-1b,2.8422667488697066,0.031188456852995292,2.5573333333333337,3.119666666666667
aws,sys-benchmark,fileio: throughput - read,MiB/s,3034685511159926510,a1.large - eu-central-1a,40.68480476777639,0.9976896216654181,35.46,42.67666666666667
aws,sys-benchmark,fileio: throughput - read,MiB/s,3034685511159926510,a1.large - eu-central-1b,39.26097821619398,1.9205043567507318,30.75,45.336666666666666
aws,sys-benchmark,fileio: throughput - read,MiB/s,3034685511159926510,a1.xlarge - eu-central-1b,43.1150020550761,2.5086117703620587,34.839999999999996,46.68666666666667
aws,sys-benchmark,fileio: throughput - read,MiB/s,3034685511159926510,m5.large - eu-central-1a,43.20981504315658,1.385085500983757,36.49666666666666,45.82333333333332
aws,sys-benchmark,fileio: throughput - read,MiB/s,3034685511159926510,m5.large - eu-central-1b,41.368840937114754,2.851303068755423,30.850000000000005,49.72666666666667
aws,sys-benchmark,fileio: throughput - read,MiB/s,3034685511159926510,m5.xlarge - eu-central-1b,40.702050965885796,3.6662498078984003,30.36,50.303333333333335
aws,sys-benchmark,cpu: events per second,events/s,3206208709095432277,a1.large - eu-central-1a,36659.90520756267,866.3635816267657,30895.920000000002,37311.01
aws,sys-benchmark,cpu: events per second,events/s,3206208709095432277,a1.large - eu-central-1b,36694.945565145914,661.6538768189241,31110.993333333336,37251.52333333334
aws,sys-benchmark,cpu: events per second,events/s,3206208709095432277,a1.xlarge - eu-central-1b,73884.40184545824,699.8776420638706,68234.68666666666,74785.92666666665
aws,sys-benchmark,cpu: events per second,events/s,3206208709095432277,m5.large - eu-central-1a,14762.488495684373,216.72143974410463,12463.176666666666,16459.423333333336
aws,sys-benchmark,cpu: events per second,events/s,3206208709095432277,m5.large - eu-central-1b,14750.268462803142,187.43726718743272,12915.683333333334,15231.4
aws,sys-benchmark,cpu: events per second,events/s,3206208709095432277,m5.xlarge - eu-central-1b,29581.97093711472,272.0182317125668,28690.306666666667,32898.706666666665
aws,sys-benchmark,fileio: fileop - read,reads/s,3251537328671541043,a1.large - eu-central-1a,2603.8380517879236,63.85949913247683,2269.5533333333333,2731.5399999999995
aws,sys-benchmark,fileio: fileop - read,reads/s,3251537328671541043,a1.large - eu-central-1b,2512.700850801485,122.91451295294802,1967.8966666666668,2901.5266666666666
aws,sys-benchmark,fileio: fileop - read,reads/s,3251537328671541043,a1.xlarge - eu-central-1b,2759.3606329634263,160.54344076514846,2229.8700000000003,2987.85
aws,sys-benchmark,fileio: fileop - read,reads/s,3251537328671541043,m5.large - eu-central-1a,2765.4214714344375,88.6433048337629,2335.9566666666665,2932.6566666666663
aws,sys-benchmark,fileio: fileop - read,reads/s,3251537328671541043,m5.large - eu-central-1b,2647.6095067817505,182.4784194677378,1974.4666666666665,3182.5800000000004
aws,sys-benchmark,fileio: fileop - read,reads/s,3251537328671541043,m5.xlarge - eu-central-1b,2604.9353884093684,234.63624144975975,1943.0666666666668,3219.373333333333
aws,sys-benchmark,memory: speed,MiB/s,3777450566969121058,a1.large - eu-central-1a,20957.497538018903,643.1542027957919,11900.949999999999,21373.670000000002
